Transaction_ID,Customer_ID,Product_ID,Sales_Amount,Date,Customer_Name,Email,Phone Number,City,Product_Name,Category,Stock_Level,Price,Anomaly_Score,Is_Anomaly
2531691,9157,16,1500.0,1928-02-06,Unknown,no-email@example.com,,Unknown City,Wooden Stool 2018,Home,247.0,149.0,1,False
432431,3765,44,1851.0,2022-07-12,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
3699307,4808,21,529.0,1943-03-08,Unknown,no-email@example.com,,Unknown City,Bella Cucina Round Deep Dish Pizza Pan,Home,116.0,815.0,1,False
1215060,1253,20,772.0,1927-12-19,Unknown,no-email@example.com,,Unknown City,Subaru,Electronics,193.0,439.0,1,False
382250,2064,49,1513.0,1990-05-23,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
536212,2004,44,567.0,1982-10-10,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
12944050,1017,25,1942.0,2018-11-13,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
461576,1805,6,2000.0,1970-01-01,Unknown,no-email@example.com,,Unknown City,Marbled mulled bacon,Home,117.0,108.0,1,False
665563,6304,27,731.0,1985-11-14,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
85367426,4598,1,1066.0,1987-05-07,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
343453,7372,4,1935.0,2021-04-02,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
10426853,1096,20,1600.0,2023-01-04,Unknown,no-email@example.com,,Unknown City,Subaru,Electronics,193.0,439.0,1,False
407065,1755,48,954.0,1961-05-19,Unknown,no-email@example.com,,Unknown City,Cantu Hair Relaxer Kit for Wavy Hair,Grocery,35.0,219.0,1,False
10044300,100000,37,651.0,1970-01-16,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
42771866,2688,19,570.0,1990-12-01,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
1129348,5493,33,2000.0,2022-05-18,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
10168475,5044,27,1300.0,1999-11-26,Unknown,no-email@example.com,,Unknown City,,,117.0,299.0,1,False
