Transaction_ID,Customer_ID,Product_ID,Sales_Amount,Date,Customer_Name,Email,Phone Number,City,Product_Name,Category,Stock_Level,Price,Anomaly
2531691,9157,16,1500.0,1928-02-06,,,,,Wooden Stool 2018,Home,247.0,149.0,0
2531691,9157,16,1500.0,1928-02-06,,,,,Duck Face,Electronics,143.0,131.0,0
2531691,9157,16,1500.0,1928-02-06,,,,,Vintage 1960s Charm Bracelet with 14k Yellow Gold Charm,Grocery,248.0,554.0,0
432431,3765,44,1851.0,2022-07-12,,,,,,,,,0
3699307,4808,21,529.0,1943-03-08,,,,,Bella Cucina Round Deep Dish Pizza Pan,Home,116.0,815.0,1
3699307,4808,21,529.0,1943-03-08,,,,,LONDON 925 GOLD 300 SILVER DIVING HELMET,Grocery,160.0,257.0,0
1215060,1253,20,772.0,1927-12-19,,,,,Subaru,Electronics,193.0,439.0,0
382250,2064,49,1513.0,1990-05-23,,,,,,,,,0
536212,2004,44,567.0,1982-10-10,,,,,,,,,0
12944050,1017,25,1942.0,2018-11-13,,,,,,,,,0
461576,1805,6,2000.0,1970-01-01,,,,,Marbled mulled bacon,Home,117.0,108.0,0
461576,1805,6,2000.0,1970-01-01,,,,,Samsung 38.6-inch 4K QLED Q70A QLED TV,Electronics,15.0,499.0,0
461576,1805,6,2000.0,1970-01-01,,,,,Nike Air Jordan Mens 12 Black/White-Varsity Red-Metallic Silver-Varsity Red-Metallic Silver-White 872003-001-Size 9 US Men's Running Shoes,Apparel,45.0,139.0,0
461576,1805,6,2000.0,1970-01-01,,,,,Full Hanger 1000mm,Electronics,16.0,799.0,1
665563,6304,27,731.0,1985-11-14,,,,,,,,,0
85367426,4598,1,1066.0,1987-05-07,,,,,,,,,0
343453,7372,4,1935.0,2021-04-02,,,,,,,,,0
10426853,1096,20,1600.0,2023-01-04,,,,,Subaru,Electronics,193.0,439.0,0
407065,1755,48,954.0,1961-05-19,,,,,Cantu Hair Relaxer Kit for Wavy Hair,Grocery,35.0,219.0,0
407065,1755,48,954.0,1961-05-19,,,,,Burgundy lace eyelet with bow headband,Home,171.0,224.0,0
10044300,100000,37,651.0,1970-01-16,,,,,,,,,0
42771866,2688,19,570.0,1990-12-01,,,,,,,,,0
1129348,5493,33,2000.0,2022-05-18,,,,,,,,,0
10168475,5044,27,1300.0,1999-11-26,,,,,,,,,0
